Date,Location,MinTemp,MaxTemp,Temperature,Humidity,Pressure,WindSpeed,WindDir,CloudCover,SunshineHours,Rainfall,RainToday,RainTomorrow
2014-01-01,Mysuru,19.3,30.3,24.1,49.4,1012.7,21.6,NE,57.9,5.6,0.0,No,Yes
2014-01-02,Bengaluru,17.1,25.1,21.7,59.1,1010.3,9.3,S,49.2,6.2,0.0,No,Yes
2014-01-03,Mysuru,18.3,29.3,25.0,59.4,1011.8,15.4,SE,35.1,6.0,6.8,Yes,Yes
2014-01-04,Belagavi,23.7,34.7,28.6,64.6,1016.2,16.5,SE,43.9,7.0,11.8,Yes,Yes
2014-01-05,Hubballi,16.8,28.6,21.8,42.3,1018.9,16.6,NE,47.1,4.3,0.0,No,No
2014-01-06,Bengaluru,17.9,28.0,21.9,65.6,1015.2,17.2,N,78.5,2.7,5.9,Yes,Yes
2014-01-07,Mangaluru,26.1,33.0,29.3,25.7,1012.8,18.8,NW,28.0,5.3,0.0,No,No
2014-01-08,Hubballi,22.0,32.5,26.2,50.4,1019.7,16.2,NE,,7.1,0.7,No,No
2014-01-09,Belagavi,18.2,26.3,21.4,51.8,1010.5,14.8,NW,40.8,6.3,1.6,Yes,Yes
2014-01-10,Hubballi,19.2,31.7,25.5,65.0,1017.1,14.5,E,52.7,8.2,7.9,Yes,Yes
2014-01-11,Hubballi,17.8,25.6,21.7,57.5,1010.4,13.6,W,70.7,5.1,5.6,Yes,Yes
2014-01-12,Belagavi,15.1,26.1,21.8,40.1,1013.9,19.1,SW,52.5,6.2,0.0,No,No
2014-01-13,Hubballi,18.2,31.3,24.7,44.9,1011.1,13.3,SE,24.3,7.3,0.0,No,No
2014-01-14,Mysuru,10.6,22.9,16.3,58.8,1011.3,19.2,SW,39.9,5.4,0.0,No,No
2014-01-15,Bengaluru,10.7,21.3,17.1,55.2,1009.6,15.8,SW,,5.1,7.3,Yes,Yes
2014-01-16,Belagavi,15.4,25.3,21.9,49.0,1018.1,13.6,,46.7,6.0,2.5,Yes,Yes
2014-01-17,Bengaluru,14.1,27.0,20.3,49.9,1007.6,18.0,W,27.7,6.1,0.0,No,No
2014-01-18,Mysuru,20.7,29.9,25.7,63.8,1007.5,12.6,SW,38.2,5.0,3.3,Yes,Yes
2014-01-19,Belagavi,14.1,24.4,20.9,49.0,1021.7,17.9,E,55.1,4.3,0.0,No,Yes
2014-01-20,Mysuru,12.8,23.4,19.0,53.9,1015.9,16.2,W,61.5,7.1,0.0,No,Yes
2014-01-21,Mangaluru,27.2,34.8,30.7,80.7,999.0,12.8,SE,57.6,7.9,20.6,Yes,Yes
2014-01-22,Mangaluru,19.4,27.4,24.1,37.4,1008.0,17.3,SW,77.1,3.8,0.0,No,Yes
2014-01-23,Mangaluru,20.2,32.3,25.4,32.0,1001.6,17.3,SE,50.2,6.0,4.5,Yes,Yes
2014-01-24,Bengaluru,14.4,23.7,19.5,63.4,1005.8,19.6,W,46.7,5.7,8.7,Yes,Yes
2014-01-25,Mangaluru,18.6,27.2,23.2,45.6,994.8,18.8,SW,31.0,6.3,0.0,No,Yes
2014-01-26,Mangaluru,20.8,30.6,25.9,49.7,1009.7,16.8,E,30.3,9.1,4.7,Yes,Yes
2014-01-27,Mysuru,17.6,25.6,21.0,43.9,1004.6,10.2,NE,47.6,8.3,0.0,No,No
2014-01-28,Hubballi,21.6,31.9,27.2,49.9,1010.5,24.5,SW,37.6,5.8,0.0,No,No
2014-01-29,Hubballi,18.4,30.1,23.4,72.0,1002.0,9.0,S,78.9,3.3,24.2,Yes,Yes
2014-01-30,Mangaluru,18.6,28.0,24.8,62.2,1010.5,18.3,NW,71.9,3.5,12.0,Yes,Yes
2014-01-31,Hubballi,17.9,30.4,23.7,62.7,1007.9,16.2,S,59.6,4.5,0.0,No,Yes
2014-02-01,Mangaluru,30.1,39.3,33.6,35.2,1017.4,,NE,21.4,9.6,0.0,No,No
2014-02-02,Mangaluru,21.8,32.0,26.2,38.1,1016.8,13.8,N,30.2,5.9,0.0,No,No
2014-02-03,Bengaluru,16.2,25.8,22.2,17.6,1013.6,13.9,W,50.9,6.3,0.0,No,Yes
2014-02-04,Belagavi,25.5,34.1,29.8,41.8,1008.0,19.4,NE,33.3,8.1,0.0,No,No
2014-02-05,Hubballi,16.5,25.0,21.8,62.8,1019.4,11.2,NE,66.9,4.3,5.3,Yes,No
2014-02-06,Mangaluru,20.7,33.2,27.6,57.3,1001.7,13.0,NE,55.0,6.5,0.0,No,Yes
2014-02-07,Hubballi,15.7,23.4,19.0,48.2,1002.3,4.6,S,45.1,6.4,2.3,Yes,No
2014-02-08,Bengaluru,17.9,26.9,21.7,,1008.9,20.8,NW,34.6,8.6,0.0,No,No
2014-02-09,Bengaluru,22.9,33.9,27.9,42.2,1020.5,9.5,SE,40.5,4.8,0.0,No,No
2014-02-10,Mangaluru,24.2,35.4,30.1,52.7,1008.1,15.1,NW,48.9,5.5,6.4,Yes,Yes
2014-02-11,Hubballi,23.7,31.3,28.0,59.3,1008.1,13.3,N,64.2,4.6,12.0,Yes,Yes
2014-02-12,Hubballi,23.5,30.2,26.9,30.5,1001.7,13.2,W,23.9,4.8,0.0,No,No
